Species Key,Belt
2638421,4
2642105,5
2642991,7
2646253,4
2646637,5
2646669,4
2650105,7
2650107,5
2650123,7
2650150,5
2650245,5
2650247,7
2650435,7
2650436,5
2650558,7
2650564,7
2650660,7
2650827,5
2650829,7
2650857,7
2650876,7
2650903,5
2650999,5
2651567,5
2651608,6
2651799,7
2651816,5
2651843,5
2651848,7
2669006,4
2671271,4
2671805,5
2672619,6
2672635,5
2672681,4
2674024,4
2681651,4
2683866,4
2683884,5
2683904,7
2683909,5
2683942,7
2683946,7
2683955,4
2683969,5
2684080,4
2684102,5
2684155,7
2684170,6
2684171,4
2684174,5
2684178,5
2684191,5
2684320,5
2684391,5
2684578,4
2684591,5
2684610,7
2684616,5
2684633,5
2684709,4
2684773,5
2684835,4
2684844,4
2684855,5
2684887,7
2684904,5
2685116,5
2685171,7
2685181,7
2685275,5
2685278,7
2685280,5
2685300,5
2685314,6
2685383,5
2685484,5
2685569,5
2685601,5
2685636,4
2685654,5
2685681,5
2685693,6
2685783,5
2686157,5
2686170,5
2686212,5
2686253,4
2686276,4
2686287,6
2687186,5
2687216,5
2687220,5
2687286,4
2687628,7
2687646,5
2687656,5
2687707,5
2687717,4
2687779,7
2687843,7
2687885,5
2687927,5
2688176,7
2688211,6
2688289,5
2688302,5
2688311,6
2688326,5
2688470,5
2688524,5
2688570,4
2688573,7
2688584,7
2688613,7
2690931,7
2695149,7
2702446,7
2702451,6
2702536,7
2702717,4
2702798,5
2702806,7
2702808,5
2702812,7
2702820,5
2702822,5
2702847,4
2702870,7
2703041,5
2703085,5
2703197,7
2703231,6
2703246,7
2703273,7
2703456,7
2703457,7
2703459,7
2703461,7
2703462,7
2703463,7
2703464,7
2703467,5
2703469,7
2703471,7
2703473,7
2703626,7
2703641,7
2703885,7
2703911,7
2703912,7
2703935,7
2704070,7
2704075,7
2704106,6
2704112,6
2704340,7
2704346,7
2704348,7
2704395,4
2704414,7
2704432,5
2704442,5
2704446,7
2704447,7
2704501,7
2704651,6
2704661,5
2704740,7
2704851,6
2704854,5
2705081,5
2705090,5
2705162,5
2705181,7
2705184,7
2705189,7
2705196,5
2705228,5
2705270,7
2705275,7
2705286,7
2705325,7
2705418,6
2705536,7
2705565,7
2705583,7
2705587,7
2705614,7
2705619,7
2705620,7
2705666,5
2705687,6
2705737,7
2705757,7
2705834,7
2705865,7
2705868,7
2705932,7
2705953,7
2705964,5
2705999,7
2706022,7
2706026,5
2706056,5
2706099,5
2706106,5
2706112,7
2706114,7
2706164,4
2706173,4
2706188,7
2706190,6
2706204,5
2706241,4
2706251,7
2706301,7
2706394,5
2706406,7
2706411,6
2706415,6
2706435,4
2706541,5
2731882,7
2735117,7
2735641,7
2739622,5
2740024,7
2741694,5
2742059,5
2742172,5
2742237,5
2747430,5
2747826,7
2750611,4
2752044,4
2752128,5
2752992,5
2753030,5
2753079,5
2753081,5
2753090,7
2753124,6
2753146,5
2753192,5
2753211,5
2753218,5
2753253,6
2753264,5
2753278,5
2753312,5
2753336,7
2753364,6
2753371,5
2753380,5
2753451,5
2753456,4
2753478,5
2753480,5
2753522,5
2753786,4
2754338,4
2754395,7
2754460,7
2754476,7
2754496,7
2754595,6
2754610,7
2754659,7
2754673,7
2754732,7
2754777,7
2755116,7
2755142,6
2755178,7
2755489,7
2755523,7
2755608,7
2755630,7
2755797,7
2756019,5
2756109,5
2756112,5
2757624,7
2766221,4
2766613,7
2767031,7
2768885,5
2768953,5
2769061,7
2769112,5
2769435,5
2769650,7
2770000,5
2770004,5
2770089,7
2770323,7
2770868,5
2771042,6
2771050,6
2771052,7
2771077,6
2771207,5
2771232,5
2771279,5
2772564,7
2772636,5
2772879,6
2773942,5
2775561,5
2775592,5
2775606,7
2775710,6
2777430,7
2777724,7
2779434,7
2781074,5
2785323,6
2789676,5
2793158,5
2793334,5
2795044,5
2795051,7
2795457,7
2795473,7
2797295,5
2798075,6
2803309,7
2803398,7
2803463,7
2808765,6
2808791,5
2814339,7
2816157,7
2816213,4
2816250,5
2816275,5
2816321,5
2820423,5
2825192,7
2825513,7
2828668,7
2828709,5
2840611,5
2840807,7
2840877,7
2846796,5
2848735,7
2848856,5
2852481,7
2853152,4
2854729,6
2856504,4
2856681,5
2856707,3
2856725,4
2856860,4
2856910,4
2857017,4
2857132,4
2857221,5
2857331,4
2857379,5
2857444,5
2857558,4
2857601,4
2857659,4
2857697,5
2860922,7
2863308,5
2863309,6
2863311,5
2863343,6
2863351,4
2863967,4
2865448,4
2870127,5
2873769,5
2873861,5
2874183,7
2874186,7
2874190,7
2874198,7
2874200,7
2874204,7
2874210,7
2874222,7
2874508,5
2874564,7
2874569,5
2874570,5
2874581,7
2874621,5
2874622,7
2874672,7
2874863,7
2875787,5
2875793,5
2875817,7
2875850,5
2875860,6
2875871,6
2875885,7
2875892,7
2875893,5
2875922,5
2875940,5
2875979,5
2876008,5
2876013,5
2876043,5
2876044,5
2876069,5
2876072,5
2876088,5
2876094,4
2876667,6
2882268,5
2882300,5
2882316,5
2882398,5
2882420,6
2882429,7
2882430,7
2882432,7
2882437,4
2882443,7
2882446,5
2882803,5
2883969,7
2884309,7
2888437,5
2888439,5
2888443,5
2888706,5
2888730,5
2888794,4
2889378,4
2889828,5
2891641,7
2891785,7
2895345,7
2895528,7
2896888,7
2901228,5
2903802,7
2925649,7
2926005,6
2926415,5
2926612,5
2926672,7
2927004,5
2927096,7
2927175,5
2927177,5
2927230,5
2927233,5
2927282,4
2927294,4
2927305,5
2927424,4
2927429,4
2927545,5
2927548,5
2928751,7
2928765,5
2928767,7
2928809,5
2928835,5
2928859,5
2928878,7
2929062,7
2929147,7
2929236,7
2929299,7
2929599,7
2929616,7
2929618,5
2929673,5
2929691,7
2929732,7
2929847,7
2929848,7
2929892,5
2929907,7
2929989,7
2930023,6
2930137,7
2930262,5
2930397,7
2930498,5
2930617,7
2930908,7
2931061,4
2931071,7
2931312,7
2931374,7
2931415,7
2931542,7
2931659,6
2931761,7
2931882,7
2932138,5
2932643,5
2932737,5
2932902,7
2932938,7
2932942,7
2932943,7
2932944,7
2943200,5
2943268,4
2943277,5
2943288,6
2944317,5
2947311,5
2948930,6
2950907,7
2951851,7
2953747,7
2953849,7
2955818,7
2956206,7
2957966,7
2958654,7
2958706,7
2959035,5
2959073,5
2960284,7
